"race","age","avg_time_in_hospital","avg_num_medications"
"AfricanAmerican","[0-10)",2.8125,6.375
"Asian","[0-10)",2.5,8
"Caucasian","[0-10)",2.50735294117647,6.16911764705882
"Hispanic","[0-10)",2.5,4
"Other","[0-10)",3,6.5
"AfricanAmerican","[10-20)",3.10047846889952,7.64593301435407
"Asian","[10-20)",2,5
"Caucasian","[10-20)",3.29452054794521,8.59817351598173
"Hispanic","[10-20)",2.73913043478261,8.91304347826087
"Other","[10-20)",3,7.1
"AfricanAmerican","[20-30)",3.95740740740741,12.2074074074074
"Asian","[20-30)",2.83333333333333,10.3333333333333
"Caucasian","[20-30)",3.36615384615385,11.9517948717949
"Hispanic","[20-30)",3.49206349206349,11.3809523809524
"Other","[20-30)",3.44444444444444,11.5185185185185
"AfricanAmerican","[30-40)",3.92232215862633,14.0367947669665
"Asian","[30-40)",3.33333333333333,10.6
"Caucasian","[30-40)",3.75714934180663,14.3790285973672
"Hispanic","[30-40)",3.78735632183908,13.0172413793103
"Other","[30-40)",3.38095238095238,12.1547619047619
"AfricanAmerican","[40-50)",4.34840330104055,15.264800861141
"Asian","[40-50)",3.07692307692308,11.8076923076923
"Caucasian","[40-50)",3.92676561735443,15.6122981569075
"Hispanic","[40-50)",3.89614243323442,14.0326409495549
"Other","[40-50)",3.98101265822785,14.5759493670886
"AfricanAmerican","[50-60)",4.27242603550296,16.0949112426036
"Asian","[50-60)",4.00813008130081,13.8455284552846
"Caucasian","[50-60)",4.09040980143642,16.9392479932404
"Hispanic","[50-60)",3.8833746898263,13.6228287841191
"Other","[50-60)",4.01294498381877,15.2588996763754
"AfricanAmerican","[60-70)",4.6476843100189,16.3289224952741
"Asian","[60-70)",4.0125,13.90625
"Caucasian","[60-70)",4.32792188342419,17.5029054094531
"Hispanic","[60-70)",4.13292433537832,14.5092024539877
"Other","[60-70)",4.55797101449275,16.036231884058
"AfricanAmerican","[70-80)",4.81944444444444,15.4968553459119
"Asian","[70-80)",4.2,13.4888888888889
"Caucasian","[70-80)",4.56413467559366,16.6270410866529
"Hispanic","[70-80)",4.2720207253886,14.9715025906736
"Other","[70-80)",4.57055214723926,15.9754601226994
"AfricanAmerican","[80-90)",4.99724821133737,14.641166758393
"Asian","[80-90)",4.24444444444444,12.8222222222222
"Caucasian","[80-90)",4.78790576633338,15.4386385426654
"Hispanic","[80-90)",4.71631205673759,14.5035460992908
"Other","[80-90)",4.48666666666667,14.9666666666667
"AfricanAmerican","[90-100)",4.80869565217391,12.7275362318841
"Asian","[90-100)",4.72727272727273,13.5454545454545
"Caucasian","[90-100)",4.73376344086021,13.9324731182796
"Hispanic","[90-100)",5.78947368421053,13
"Other","[90-100)",4.08333333333333,13.7916666666667
